message_text,language,scam_category,is_phishing
"URGENT: Your electricity connection will be disconnected tonight. Pay Rs.1,450 now at bit.ly/sample-link to avoid interruption.",English,Utility,1
Aapka bijli connection kal band ho jayega. Abhi pay karein: bit.ly/sample-link. Helpline: 98xxxxxx21,Hindi,Utility,1
Tumcha light bill 2 dinant bharla nahi tar connection cut hoil. Ithe pay kara: example.com/pay,Marathi,Utility,1
Bhai tera electricity bill 3 mahine se pending hai. Abhi pay kar warna line cut ho jayegi - 98xxxxxx21 pe call kar.,Hinglish,Utility,1
Tumcha vij bill Rs.890 pending aahe. Aajach bharla nahi tar connection tutal. Pay kara: bit.ly/sample-link,Marathlish,Utility,1
"Dear Customer, your MSEB bill of Rs.2,340 is overdue. To avoid disconnection, pay immediately via bit.ly/sample-link",English,Utility,1
Aapka gas connection suspend ho sakta hai. Pending amount Rs.560 jald se jald pay karein: example.com/gas,Hindi,Utility,1
Notice: Your water supply bill is 60 days overdue. Pay now or face legal action. Contact: 98xxxxxx21,English,Utility,1
Tumcha pani bill bharla nahi tar pudhe service band hoil. Turant example.com/water var pay kara.,Marathlish,Utility,1
Light bill overdue hai yaar. Company ne notice bheja hai. Jaldi pay kar bit.ly/sample-link pe warna fine lagega.,Hinglish,Utility,1
"Urgent notice: Your Piped Natural Gas bill is pending. Pay Rs.1,200 now at bit.ly/sample-link to keep supply active.",English,Utility,1
Aapki bijli seva rokne ki notice di ja rahi hai. Turant payment ke liye: example.com/bijli,Hindi,Utility,1
ALERT: Your KYC is incomplete. Your ABC Bank account will be suspended in 24 hours. Update now: bit.ly/sample-link,English,KYC,1
Aapka KYC incomplete hai. ABC Bank account band hone se bachane ke liye abhi update karein: example.com/kyc,Hindi,KYC,1
Tumcha KYC incomplete aahe. ABC Bank account band honar aahe. Turant update kara: bit.ly/sample-link,Marathi,KYC,1
Bro tera bank KYC expire ho gaya. Abhi update kar warna account freeze ho jayega - bit.ly/sample-link,Hinglish,KYC,1
Tumcha KYC verify nahi zala. Account suspend honar aahe 48 tasyat. Ithe kara update: example.com/kyc,Marathlish,KYC,1
"Dear User, your PAN-Aadhaar linking is pending. Failure to complete KYC by tomorrow will result in account freeze. Visit: bit.ly/sample-link",English,KYC,1
Aapka Aadhaar bank se link nahi hai. Account suspend hone se pehle turant link karein: example.com/aadhaar,Hindi,KYC,1
"Your mobile KYC has expired. To continue using UPI services, reverify at example.com/kyc before midnight.",English,KYC,1
Bank ne notice bheja hai - KYC pending. Agar kal tak update nahi kiya toh transactions band ho jayenge. Link: bit.ly/sample-link,Hinglish,KYC,1
Tumcha video KYC incomplete aahe. 24 tasat complete nahi kela tar account block hoil. example.com/vkyc,Marathlish,KYC,1
NOTICE: Re-KYC required for your ABC Bank account. Click here to complete: bit.ly/sample-link. Ignore at risk of suspension.,English,KYC,1
"Congratulations! You have won Rs.15,00,000 in the ABC National Lottery. Claim your prize now: bit.ly/sample-link. Ref: LT8821",English,Lottery,1
Aapne Lucky Draw mein Rs.10 lakh jeete hain! Claim karne ke liye abhi call karein: 98xxxxxx21,Hindi,Lottery,1
"Tumhi ABC Lottery madhye 50,000 rupaye jinkale! Claim karyasathi ithe click kara: example.com/lottery",Marathi,Lottery,1
